upd    1 | step    2048 | mean_ep_len  229.0 | mean_ep_rew  229.0 | pg_loss -0.040 | v_loss 124.392 | ent 2.188 | clipfrac 0.048 | sps 4064
upd  106 | step  217088 | mean_ep_len  323.4 | mean_ep_rew  323.4 | pg_loss +0.023 | v_loss 44.389 | ent 2.045 | clipfrac 0.017 | sps 4410
upd  107 | step  219136 | mean_ep_len  323.4 | mean_ep_rew  323.4 | pg_loss -0.019 | v_loss 53.848 | ent 2.063 | clipfrac 0.022 | sps 4413
upd  108 | step  221184 | mean_ep_len  343.5 | mean_ep_rew  343.5 | pg_loss +0.019 | v_loss 48.751 | ent 2.064 | clipfrac 0.045 | sps 4415
upd  109 | step  223232 | mean_ep_len  360.4 | mean_ep_rew  360.4 | pg_loss -0.018 | v_loss 64.259 | ent 2.080 | clipfrac 0.028 | sps 4416
upd  110 | step  225280 | mean_ep_len  339.7 | mean_ep_rew  339.7 | pg_loss +0.007 | v_loss 62.473 | ent 2.041 | clipfrac 0.008 | sps 4419
upd  111 | step  227328 | mean_ep_len  313.5 | mean_ep_rew  313.5 | pg_loss +0.019 | v_loss 52.282 | ent 2.050 | clipfrac 0.007 | sps 4410
upd  112 | step  229376 | mean_ep_len  308.3 | mean_ep_rew  308.3 | pg_loss -0.015 | v_loss 71.119 | ent 2.063 | clipfrac 0.001 | sps 4401
upd  113 | step  231424 | mean_ep_len  318.7 | mean_ep_rew  318.7 | pg_loss +0.009 | v_loss 50.536 | ent 2.052 | clipfrac 0.034 | sps 4399
upd  114 | step  233472 | mean_ep_len  314.1 | mean_ep_rew  314.1 | pg_loss -0.011 | v_loss 52.676 | ent 2.072 | clipfrac 0.008 | sps 4394
upd  115 | step  235520 | mean_ep_len  296.7 | mean_ep_rew  296.7 | pg_loss -0.008 | v_loss 46.598 | ent 2.067 | clipfrac 0.017 | sps 4386
upd  116 | step  237568 | mean_ep_len  262.5 | mean_ep_rew  262.5 | pg_loss -0.005 | v_loss 63.912 | ent 2.058 | clipfrac 0.003 | sps 4387
upd  117 | step  239616 | mean_ep_len  245.8 | mean_ep_rew  245.8 | pg_loss -0.022 | v_loss 51.738 | ent 2.046 | clipfrac 0.006 | sps 4389
upd  118 | step  241664 | mean_ep_len  203.4 | mean_ep_rew  203.4 | pg_loss -0.010 | v_loss 56.601 | ent 2.044 | clipfrac 0.000 | sps 4379
upd  119 | step  243712 | mean_ep_len  202.9 | mean_ep_rew  202.9 | pg_loss -0.011 | v_loss 49.862 | ent 2.055 | clipfrac 0.000 | sps 4377
upd  120 | step  245760 | mean_ep_len  223.8 | mean_ep_rew  223.8 | pg_loss +0.036 | v_loss 55.109 | ent 2.067 | clipfrac 0.042 | sps 4376
upd  121 | step  247808 | mean_ep_len  208.3 | mean_ep_rew  208.3 | pg_loss -0.021 | v_loss 71.101 | ent 2.067 | clipfrac 0.000 | sps 4378
upd  122 | step  249856 | mean_ep_len  215.7 | mean_ep_rew  215.7 | pg_loss -0.023 | v_loss 43.388 | ent 2.072 | clipfrac 0.005 | sps 4372
upd  123 | step  251904 | mean_ep_len  225.8 | mean_ep_rew  225.8 | pg_loss +0.006 | v_loss 57.671 | ent 2.083 | clipfrac 0.000 | sps 4373
upd  124 | step  253952 | mean_ep_len  242.9 | mean_ep_rew  242.9 | pg_loss +0.009 | v_loss 64.632 | ent 2.052 | clipfrac 0.004 | sps 4374
upd  125 | step  256000 | mean_ep_len  261.5 | mean_ep_rew  261.5 | pg_loss -0.001 | v_loss 38.368 | ent 2.024 | clipfrac 0.000 | sps 4376
upd  126 | step  258048 | mean_ep_len  238.2 | mean_ep_rew  238.2 | pg_loss -0.001 | v_loss 51.128 | ent 2.023 | clipfrac 0.011 | sps 4378
upd  127 | step  260096 | mean_ep_len  261.0 | mean_ep_rew  261.0 | pg_loss -0.005 | v_loss 40.553 | ent 2.005 | clipfrac 0.000 | sps 4380
upd  128 | step  262144 | mean_ep_len  283.0 | mean_ep_rew  283.0 | pg_loss -0.012 | v_loss 59.078 | ent 1.982 | clipfrac 0.000 | sps 4379
upd  129 | step  264192 | mean_ep_len  279.2 | mean_ep_rew  279.2 | pg_loss +0.004 | v_loss 46.738 | ent 1.973 | clipfrac 0.000 | sps 4377
upd  130 | step  266240 | mean_ep_len  269.0 | mean_ep_rew  269.0 | pg_loss +0.006 | v_loss 55.880 | ent 1.960 | clipfrac 0.000 | sps 4379
upd  131 | step  268288 | mean_ep_len  291.2 | mean_ep_rew  291.2 | pg_loss +0.009 | v_loss 38.522 | ent 1.905 | clipfrac 0.001 | sps 4380
upd  132 | step  270336 | mean_ep_len  310.9 | mean_ep_rew  310.9 | pg_loss -0.015 | v_loss 40.585 | ent 1.893 | clipfrac 0.000 | sps 4382
upd  133 | step  272384 | mean_ep_len  326.0 | mean_ep_rew  326.0 | pg_loss -0.017 | v_loss 46.244 | ent 1.926 | clipfrac 0.000 | sps 4383
upd  134 | step  274432 | mean_ep_len  336.5 | mean_ep_rew  336.5 | pg_loss -0.014 | v_loss 39.041 | ent 1.923 | clipfrac 0.022 | sps 4384
upd  135 | step  276480 | mean_ep_len  362.4 | mean_ep_rew  362.4 | pg_loss -0.001 | v_loss 70.415 | ent 1.931 | clipfrac 0.000 | sps 4385
upd  136 | step  278528 | mean_ep_len  362.5 | mean_ep_rew  362.5 | pg_loss +0.005 | v_loss 44.985 | ent 1.940 | clipfrac 0.000 | sps 4385
upd  137 | step  280576 | mean_ep_len  369.4 | mean_ep_rew  369.4 | pg_loss -0.003 | v_loss 56.667 | ent 1.946 | clipfrac 0.000 | sps 4386
upd  138 | step  282624 | mean_ep_len  403.7 | mean_ep_rew  403.7 | pg_loss -0.005 | v_loss 58.387 | ent 1.919 | clipfrac 0.000 | sps 4388
upd  139 | step  284672 | mean_ep_len  427.4 | mean_ep_rew  427.4 | pg_loss -0.002 | v_loss 41.640 | ent 1.918 | clipfrac 0.000 | sps 4388
upd  140 | step  286720 | mean_ep_len  432.6 | mean_ep_rew  432.6 | pg_loss +0.001 | v_loss 54.335 | ent 1.911 | clipfrac 0.000 | sps 4390
upd  141 | step  288768 | mean_ep_len  455.9 | mean_ep_rew  455.9 | pg_loss -0.001 | v_loss 67.181 | ent 1.914 | clipfrac 0.000 | sps 4389
upd  142 | step  290816 | mean_ep_len  455.3 | mean_ep_rew  455.3 | pg_loss -0.001 | v_loss 75.421 | ent 1.926 | clipfrac 0.000 | sps 4390
upd  143 | step  292864 | mean_ep_len  460.8 | mean_ep_rew  460.8 | pg_loss -0.001 | v_loss 35.823 | ent 1.929 | clipfrac 0.000 | sps 4390
upd  144 | step  294912 | mean_ep_len  463.7 | mean_ep_rew  463.7 | pg_loss -0.001 | v_loss 35.796 | ent 1.926 | clipfrac 0.000 | sps 4391
upd  145 | step  296960 | mean_ep_len  482.4 | mean_ep_rew  482.4 | pg_loss -0.000 | v_loss 61.640 | ent 1.927 | clipfrac 0.000 | sps 4380
upd  146 | step  299008 | mean_ep_len  469.5 | mean_ep_rew  469.5 | pg_loss -0.001 | v_loss 47.718 | ent 1.933 | clipfrac 0.000 | sps 4381

Saved checkpoint to ppo_dodge.pt
